x	y	f(x,y)
-10.00000 -10.00000 -293.73141
-9.31034 -10.00000 -184.15177
-8.62069 -10.00000 -98.45415
-7.93103 -10.00000 18.90818
-7.24138 -10.00000 204.84759
-6.55172 -10.00000 459.59243
-5.86207 -10.00000 746.57538
-5.17241 -10.00000 1010.31437
-4.48276 -10.00000 1203.54250
-3.79310 -10.00000 1310.32088
-3.10345 -10.00000 1353.83255
-2.41379 -10.00000 1385.04626
-1.72414 -10.00000 1457.79352
-1.03448 -10.00000 1602.44573
-0.34483 -10.00000 1811.06299
0.34483 -10.00000 2041.27663
1.03448 -10.00000 2237.00686
1.72414 -10.00000 2355.88500
2.41379 -10.00000 2389.97115
3.10345 -10.00000 2369.63673
3.79310 -10.00000 2348.71322
4.48276 -10.00000 2378.16939
5.17241 -10.00000 2481.18827
5.86207 -10.00000 2641.83098
6.55172 -10.00000 2812.83062
7.24138 -10.00000 2938.70510
7.93103 -10.00000 2982.88712
8.62069 -10.00000 2945.60504
9.31034 -10.00000 2863.77120
10.00000 -10.00000 2792.93235
-10.00000 -8.57143 -631.55697
-9.31034 -8.57143 -537.40362
-8.62069 -8.57143 -467.13230
-7.93103 -8.57143 -365.19626
-7.24138 -8.57143 -194.68315
-6.55172 -8.57143 44.63539
-5.86207 -8.57143 316.19205
-5.17241 -8.57143 564.50475
-4.48276 -8.57143 742.30658
-3.79310 -8.57143 833.65867
-3.10345 -8.57143 861.74404
-2.41379 -8.57143 877.53146
-1.72414 -8.57143 934.85242
-1.03448 -8.57143 1064.07833
-0.34483 -8.57143 1257.26930
0.34483 -8.57143 1472.05665
1.03448 -8.57143 1652.36058
1.72414 -8.57143 1755.81242
2.41379 -8.57143 1774.47228
3.10345 -8.57143 1738.71156
3.79310 -8.57143 1702.36175
4.48276 -8.57143 1716.39163
5.17241 -8.57143 1803.98422
5.86207 -8.57143 1949.20063
6.55172 -8.57143 2104.77397
7.24138 -8.57143 2215.22216
7.93103 -8.57143 2243.97789
8.62069 -8.57143 2191.26950
9.31034 -8.57143 2094.00937
10.00000 -8.57143 2007.74422
-10.00000 -7.14286 -753.68203
-9.31034 -7.14286 -674.95497
-8.62069 -7.14286 -620.10995
-7.93103 -7.14286 -533.60021
-7.24138 -7.14286 -378.51339
-6.55172 -7.14286 -154.62114
-5.86207 -7.14286 101.50922
-5.17241 -7.14286 334.39562
-4.48276 -7.14286 496.77116
-3.79310 -7.14286 572.69695
-3.10345 -7.14286 585.35602
-2.41379 -7.14286 585.71715
-1.72414 -7.14286 627.61182
-1.03448 -7.14286 741.41143
-0.34483 -7.14286 919.17611
0.34483 -7.14286 1118.53716
1.03448 -7.14286 1283.41479
1.72414 -7.14286 1371.44034
2.41379 -7.14286 1374.67390
3.10345 -7.14286 1323.48689
3.79310 -7.14286 1271.71079
4.48276 -7.14286 1270.31437
5.17241 -7.14286 1342.48066
5.86207 -7.14286 1472.27078
6.55172 -7.14286 1612.41782
7.24138 -7.14286 1707.43972
7.93103 -7.14286 1720.76915
8.62069 -7.14286 1652.63447
9.31034 -7.14286 1539.94804
10.00000 -7.14286 1438.25660
-10.00000 -5.71429 -763.70772
-9.31034 -5.71429 -700.40696
-8.62069 -5.71429 -660.98823
-7.93103 -5.71429 -589.90479
-7.24138 -5.71429 -450.24427
-6.55172 -5.71429 -241.77832
-5.86207 -5.71429 -1.07425
-5.17241 -5.71429 216.38586
-4.48276 -5.71429 363.33510
-3.79310 -5.71429 423.83460
-3.10345 -5.71429 421.06738
-2.41379 -5.71429 406.00220
-1.72414 -5.71429 432.47058
-1.03448 -5.71429 530.84390
-0.34483 -5.71429 693.18228
0.34483 -5.71429 877.11703
1.03448 -5.71429 1026.56837
1.72414 -5.71429 1099.16762
2.41379 -5.71429 1086.97489
3.10345 -5.71429 1020.36158
3.79310 -5.71429 953.15918
